user_id,period,total_co2,electricity_co2,gas_co2,fuel_co2,water_co2,summary_id,created_at
1,2025-01,280.07271231176566,280.07271231176566,280.07271231176566,280.07271231176566,280.07271231176566,1,2026-02-10 19:49:57.899807
1,2025-02,254.63019160246574,254.63019160246571,254.63019160246571,254.63019160246571,254.63019160246571,2,2026-02-10 19:49:57.899807
1,2025-03,311.9514768814197,311.95147688141964,311.95147688141964,311.95147688141964,311.95147688141964,3,2026-02-10 19:49:57.899807
1,2025-04,257.694361158321,257.694361158321,257.694361158321,257.694361158321,257.694361158321,4,2026-02-10 19:49:57.899807
1,2025-05,301.8269286007623,301.8269286007623,301.8269286007623,301.8269286007623,301.8269286007623,5,2026-02-10 19:49:57.899807
1,2025-06,265.6132135475641,265.61321354756416,265.61321354756416,265.61321354756416,265.61321354756416,6,2026-02-10 19:49:57.899807
2,2025-01,500.49624704886673,500.4962470488667,500.4962470488667,500.4962470488667,500.4962470488667,7,2026-02-10 19:49:57.899807
2,2025-02,435.7964716130954,435.79647161309543,435.79647161309543,435.79647161309543,435.79647161309543,8,2026-02-10 19:49:57.899807
2,2025-03,485.40317379873176,485.40317379873187,485.40317379873187,485.40317379873187,485.40317379873187,9,2026-02-10 19:49:57.899807
2,2025-04,436.950746133481,436.950746133481,436.950746133481,436.950746133481,436.950746133481,10,2026-02-10 19:49:57.899807
2,2025-05,453.29675360179033,453.29675360179033,453.29675360179033,453.29675360179033,453.29675360179033,11,2026-02-10 19:49:57.899807
2,2025-06,471.25315733010507,471.25315733010507,471.25315733010507,471.25315733010507,471.25315733010507,12,2026-02-10 19:49:57.899807
3,2025-01,296.6487607772754,296.6487607772754,296.6487607772754,296.6487607772754,296.6487607772754,13,2026-02-10 19:49:57.899807
3,2025-02,264.4470157474023,264.4470157474023,264.4470157474023,264.4470157474023,264.4470157474023,14,2026-02-10 19:49:57.899807
3,2025-03,297.88797913595266,297.88797913595266,297.88797913595266,297.88797913595266,297.88797913595266,15,2026-02-10 19:49:57.899807
3,2025-04,270.1310462678278,270.13104626782774,270.13104626782774,270.13104626782774,270.13104626782774,16,2026-02-10 19:49:57.899807
3,2025-05,284.90857382312595,284.90857382312595,284.90857382312595,284.90857382312595,284.90857382312595,17,2026-02-10 19:49:57.899807
